geo_code,geo_name,geo_type,population,land_area
1,Canada,,33476688,8965121.425
1001101,"Division No.  1, Subd. V (N.L.)",SNO,62,894.1406
1001105,Portugal Cove South (N.L.),T,160,1.14
1001113,Trepassey (N.L.),T,570,55.8094
1001120,St. Shott's (N.L.),T,81,1.1359
1001124,"Division No.  1, Subd. U (N.L.)",SNO,1489,754.369
1001126,Cape Broyle (N.L.),T,506,10.0474
1001131,Renews-Cappahayden (N.L.),T,310,127.8436
1001136,Fermeuse (N.L.),T,323,38.7322
1001140,Port Kirwan (N.L.),T,65,9.1918
1001144,Aquaforte (N.L.),T,83,6.8158
1001149,Ferryland (N.L.),T,465,13.6204
1001155,"Division No.  1, Subd. W (N.L.)",SNO,511,842.5688
1001169,St. Vincent's-St. Stephen's-Peter's River (N.L.),T,340,87.5042
1001174,Gaskiers-Point La Haye (N.L.),T,233,23.8146
1001178,St. Mary's (N.L.),T,439,37.0497
1001181,Riverhead (N.L.),T,212,105.5955
1001186,Admirals Beach (N.L.),T,153,24.4244
1001192,St. Joseph's (N.L.),T,115,32.3135
1001197,Mount Carmel-Mitchells Brook-St. Catherine's (N.L.),T,358,61.5524
1001203,"Division No.  1, Subd. X (N.L.)",SNO,506,570.882
1001207,Colinet (N.L.),T,110,6.2271
1001214,"Division No.  1, Subd. C (N.L.)",SNO,131,833.077
1001219,Branch (N.L.),T,247,16.1462
1001225,Point Lance (N.L.),T,120,29.1368
1001228,St. Bride's (N.L.),T,308,5.8431
1001234,"Division No.  1, Subd. B (N.L.)",SNO,344,460.2067
1001240,Placentia (N.L.),T,3643,58.0547
1001254,Fox Harbour (N.L.),T,270,19.7829
1001259,"Division No.  1, Subd. A (N.L.)",SNO,757,779.5399
1001263,Long Harbour-Mount Arlington Heights (N.L.),T,298,18.407
1001267,Southern Harbour (N.L.),T,534,5.4067
1001270,Arnold's Cove (N.L.),T,990,4.9254
1001274,Come By Chance (N.L.),T,247,41.163
1001277,Sunnyside (N.L.),T,452,37.9486
1001281,Chance Cove (N.L.),T,282,18.1988
1001285,Norman's Cove-Long Cove (N.L.),T,720,19.9798
1001289,Chapel Arm (N.L.),T,468,28.1715
1001293,"Division No.  1, Subd. Y (N.L.)",SNO,1175,191.0619
1001298,Whitbourne (N.L.),T,916,21.4076
1001304,"Division No.  1, Subd. E (N.L.)",SNO,2971,218.9149
1001308,Whiteway (N.L.),T,293,22.6431
1001312,Heart's Delight-Islington (N.L.),T,704,27.2722
1001316,Heart's Desire (N.L.),T,223,17.2659
1001321,"Division No.  1, Subd. F (N.L.)",SNO,546,174.287
1001325,Heart's Content (N.L.),T,375,62.8109
1001328,New Perlican (N.L.),T,210,24.4673
1001332,Winterton (N.L.),T,484,10.5185
1001335,Hant's Harbour (N.L.),T,346,32.3133
1001339,"Division No.  1, Subd. G (N.L.)",SNO,2017,308.5367
1001343,Old Perlican (N.L.),T,661,14.4669
1001347,Bay de Verde (N.L.),T,398,13.2777
1001352,Small Point-Adam's Cove-Blackhead-Broad Cove (N.L.),T,389,22.2173
1001357,"Division No.  1, Subd. H (N.L.)",SNO,408,56.8535
1001361,Salmon Cove (N.L.),T,695,4.2082
1001365,Victoria (N.L.),T,1764,17.6369
1001370,Carbonear (N.L.),T,4739,11.8128
1001374,"Division No.  1, Subd. I (N.L.)",SNO,271,65.4283
1001375,Bryant's Cove (N.L.),T,396,4.8744
1001379,Harbour Grace (N.L.),T,3131,33.7054
1001385,Upper Island Cove (N.L.),T,1594,7.8515
1001391,"Division No.  1, Subd. J (N.L.)",SNO,0,0.469
1001394,Bishop's Cove (N.L.),T,275,1.8894
1001396,Spaniard's Bay (N.L.),T,2622,65.7303
1001405,"Division No.  1, Subd. K (N.L.)",SNO,46,37.4142
1001409,Bay Roberts (N.L.),T,5818,23.9204
1001415,"Division No.  1, Subd. L (N.L.)",SNO,956,8.211
1001421,"Division No.  1, Subd. M (N.L.)",SNO,1087,139.9512
1001426,North River (N.L.),T,562,4.3186
1001429,Clarke's Beach (N.L.),T,1396,12.7087
1001434,South River (N.L.),T,655,6.0629
1001437,Cupids (N.L.),T,761,11.022
1001441,"Division No.  1, Subd. N (N.L.)",SNO,317,13.0348
1001446,Brigus (N.L.),T,750,11.5675
1001452,"Division No.  1, Subd. O (N.L.)",SNO,724,78.6794
1001456,Colliers (N.L.),T,651,26.1586
1001461,Conception Harbour (N.L.),T,697,21.6245
1001464,Avondale (N.L.),T,636,29.9325
1001469,Harbour Main-Chapel's Cove-Lakeview (N.L.),T,1083,21.0532
1001472,Holyrood (N.L.),T,1995,125.5743
1001485,Conception Bay South (N.L.),T,24848,59.2709
1001490,"Division No.  1, Subd. R (N.L.)",SNO,344,16.8772
1001494,Wabana (N.L.),T,2346,14.4958
1001504,Portugal Cove-St. Philip's (N.L.),T,7366,57.3542
1001505,Pouch Cove (N.L.),T,1866,58.3358
1001507,Flatrock (N.L.),T,1457,18.1167
1001509,Torbay (N.L.),T,7397,34.8778
1001511,Logy Bay-Middle Cove-Outer Cove (N.L.),T,2098,16.9757
1001512,Bauline (N.L.),T,397,15.948
1001517,Paradise (N.L.),T,17695,29.2372
1001519,St. John's (N.L.),CY,106172,446.0556
1001542,Mount Pearl (N.L.),CY,24284,15.7475
1001551,Petty Harbour-Maddox Cove (N.L.),T,924,4.5057
1001557,Bay Bulls (N.L.),T,1283,30.7436
1001559,Witless Bay (N.L.),T,1179,17.486
1001565,"Division No.  1, Subd. D (N.L.)",SNO,115,298.5957
1002001,"Division No.  2, Subd. E (N.L.)",SNO,269,139.5184
1002002,Lewin's Cove (N.L.),T,555,6.5213
1002005,Burin (N.L.),T,2424,34.0503
1002006,"Division No.  2, Subd. F (N.L.)",SNO,130,201.4457
1002008,St. Lawrence (N.L.),T,1244,35.4967
1002009,"Division No.  2, Subd. G (N.L.)",SNO,10,371.6495
1002011,Lawn (N.L.),T,672,3.6112
1002012,Lamaline (N.L.),T,286,81.6934
1002013,Lord's Cove (N.L.),T,175,30.9147
1002014,Point May (N.L.),T,233,64.8889
1002015,Point au Gaul (N.L.),T,97,3.8377
1002016,"Division No.  2, Subd. H (N.L.)",SNO,139,270.4673
1002017,Frenchman's Cove (N.L.),T,172,68.5493
1002018,Fortune (N.L.),T,1442,54.851
1002019,Grand Bank (N.L.),T,2415,16.9691
1002021,Garnish (N.L.),T,545,39.1066
1002022,"Division No.  2, Subd. D (N.L.)",SNO,260,33.1245
1002023,Winterland (N.L.),T,363,54.3416
1002024,Marystown (N.L.),T,5506,61.9682
1002025,Fox Cove-Mortier (N.L.),T,333,25.6
1002026,"Division No.  2, Subd. I (N.L.)",SNO,136,505.2971
1002027,Bay L'Argent (N.L.),T,285,3.5588
1002029,"Division No.  2, Subd. J (N.L.)",SNO,0,280.1497
1002030,Grand le Pierre (N.L.),T,260,153.5856
1002031,"Division No.  2, Subd. C (N.L.)",SNO,596,1532.2098
1002033,Rushoon (N.L.),T,288,6.1504
1002034,Parkers Cove (N.L.),T,301,4.85
1002036,Terrenceville (N.L.),T,530,14.4986
1002037,Red Harbour (N.L.),T,191,11.3501
1002039,English Harbour East (N.L.),T,147,3.2024
1002040,Baine Harbour (N.L.),T,137,4.816
1002041,St. Bernard's-Jacques Fontaine (N.L.),T,470,16.4424
1002044,"Division No.  2, Subd. L (N.L.)",SNO,15,903.28
1002048,"Division No.  2, Subd. K (N.L.)",SNO,595,1059.1261
1002055,Little Bay East (N.L.),T,130,1.4812
1003001,"Division No.  3, Subd. A (N.L.)",SNO,5,3044.8125
1003002,Rencontre East (N.L.),T,141,2.6198
1003003,St. Jacques-Coomb's Cove (N.L.),T,618,83.7606
1003004,Belleoram (N.L.),T,409,2.1017
1003005,Pool's Cove (N.L.),T,182,2.6376
1003006,"Division No.  3, Subd. B (N.L.)",SNO,5,258.7042
1003008,Harbour Breton (N.L.),T,1711,13.737
1003009,"Division No.  3, Subd. C (N.L.)",SNO,0,732.3122
1003010,Seal Cove (Fortune Bay) (N.L.),T,263,2.417
1003011,Hermitage-Sandyville (N.L.),T,450,28.9097
1003012,Gaultois (N.L.),T,179,4.3258
1003014,"Division No.  3, Subd. D (N.L.)",SNO,265,6848.1496
1003018,Milltown-Head of Bay d'Espoir (N.L.),T,789,25.0221
1003019,St. Alban's (N.L.),T,1233,20.8484
1003020,Morrisville (N.L.),T,117,14.261
1003021,"Division No.  3, Subd. E (N.L.)",SNO,114,2570.5879
1003024,"Division No.  3, Subd. F (N.L.)",SNO,385,2634.6634
